Municipality_DOM_ID,Value_e,Value_sl,Value_sc,forecast_hour,valid_time,local_time,gefs_heat_index,gefs_heat_index_p90,gefs_t2m,gefs_rh2m,icon_heat_index,icon_heat_index_p90,icon_t2m,icon_rh2m,multimodel_heat_index,p_below_27,p_27_32,p_32_41,p_41_54,p_ge_54,dominant_category,heat_stress_category_sr,heat_stress_color,dominant_category_probability,models_available,source_models,model_spread_c,confidence,gefs_members,icon_members,status,day_weight,night_weight,thermal_stress_mode,night_key,night_qc,gefs_night_complete,icon_night_complete,p_tmin_lt20,p_tmin_20_22,p_tmin_22_24,p_tmin_24_26,p_tmin_ge26,gefs_night_tmin,icon_night_tmin,multimodel_night_tmin,night_score,thermal_stress_score,thermal_stress_color,thermal_stress_valid_time,thermal_stress_local_time,status_24h
80012,ADA,ADA,АДА,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,28.4,30.2,29.9,30.5,,,,,28.4,12.9,83.9,3.2,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,83.9,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.903,YELLOW,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80209,KIKINDA,KIKINDA,КИКИНДА,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,28.1,29.6,29.5,27.9,,,,,28.1,12.9,87.1,0.0,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,87.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.871,YELLOW,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80365,SENTA,SENTA,СЕНТА,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,28.6,30.3,29.6,31.0,,,,,28.6,16.1,80.6,3.2,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,80.6,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.87,YELLOW,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80489,ČOKA,ČOKA,ЧОКА,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,28.3,29.8,29.6,29.0,,,,,28.3,12.9,87.1,0.0,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,87.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.871,YELLOW,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80276,NOVI KNEŽEVAC,NOVI KNEŽEVAC,НОВИ КНЕЖЕВАЦ,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,28.3,29.8,29.6,29.0,,,,,28.3,12.9,87.1,0.0,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,87.1,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.871,YELLOW,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
80195,KANJIŽA,KANJIŽA,КАЊИЖА,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,28.6,30.3,29.6,31.0,,,,,28.6,16.1,80.6,3.2,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,80.6,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.87,YELLOW,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70521,ŽABARI,ŽABARI,ЖАБАРИ,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,27.5,28.2,28.7,28.3,,,,,27.5,29.0,71.0,0.0,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,71.0,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.71,YELLOW,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70530,ŽAGUBICA,ŽAGUBICA,ЖАГУБИЦА,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,23.6,24.5,23.6,36.9,,,,,23.6,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.0,GREEN,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70912,PETROVAC NA MLAVI,PETROVAC NA MLAVI,ПЕТРОВАЦ НА МЛАВИ,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,26.3,26.7,26.5,32.6,,,,,26.3,96.8,3.2,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,96.8,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.032,GREEN,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
70696,KUČEVO,KUČEVO,КУЧЕВО,33,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,23.9,24.6,23.9,38.7,,,,,23.9,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,1,GEFS,,LOW,31,0,EXPERIMENTAL / NOT CALIBRATED,1.0,0.0,DAY,,NOT_APPLICABLE,False,False,,,,,,,,,,0.0,GREEN,2026-08-29T09:00:00+00:00,2026-08-29T11:00:00+02:00,EXPERIMENTAL / NOT CALIBRATED
